ID;Ciudad;Estrato;Edad;Lunes;Martes;Miercoles;Jueves;Viernes;Sabado;Domingo;Trabajo_remoto;Transporte1;Compartido1;Tiempo1;Transporte2;Other.1;Compartido2;Tiempo2;Tecnologia_de_vehiculo;Other.2;Cilindrada;Kilometraje;Modelo;Costo_combustible;Costo_parqueadero;Costo_mantenimiento;Costo_obligaciones;Costo_depreciación;Costo_de_transporte;Comodidad;Rapidez;Costo;Conveniencia;Seguridad_personal;Menor_riesgo_de_accidente;Razones_ambientales;Salud;Problemas_de_salud,_por_ejemplo,_discapacidad;Compromisos_tales_como_dejar_o_recoger_pasajeros;Preferencia_Trabajo_Remoto;Economia;Tiempo;Conveniencia.1;Seguridad_personal.1;Menor_riesgo_de_accidente.1;Razones_ambientales.1;No_hay_acceso_a_transporte_publico;Salud.1;Problemas_de_salud,_por_ejemplo_discapacidad;Compromisos_tales_como_dejar_o_recoger_pasajeros.1;Otros;Desplazamientos_extra;OTROS_TRAYECTOS;Transporte_extra;Other.3;Transporte_almuerzo;Other.4;Tren;Cable;Transporte_integrado;Alimentador_de_sistema_masivo;Tranvia;Bus_o_Colectivo;Carro_propio_uso_individual;Carro_compartido_pasajero;Carro_compartido_conductor;Motocicleta_2T;Motocicleta_4T;Motocicleta_electrica;Taxi;Bicicleta_mecanica;Bicicleta_publica;Bicicleta_electrica_personal;Patineta;A_pie_o_caminata;Uber_o_similares;Bicicletas_eléctricas_compartidas_de_la_compañía;Patinetas_eléctricas_compartidas_de_la_compañía;Motivadores;Barreras;Sede;Genero;LATITUDE;LONGITUDE;Distancia_trabajo;dFlag;Viajes_std;Viajes_lab;Viajes_tr;Co2Flag_W;Co2Flag_lab_W;Co2Anual
000wxj0vvr5pygp7s000wxj0z9namx02;Medellín;3;46;1;1;1;1;1;1;1;0;Motocicleta 4T;;1;Motocicleta 4T;;;;Gasolina;;125;45000;2017;80000;78000;70000;800000;1000000;0;1;1;0;1;1;0;0;1;0;0;0;;;;;;;;;;;;0;1;A pie o caminata;;A pie o caminata;;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;1;0;0;0;1;1;2;1;B;Masculino;6,2998808;-75,568616;5,982483784;5-7 KM;14;1;0;3796,704311;0;197428,6242
02hw4jm4q9j5b9aqa57602hw4qj1e52s;Medellín;5;47;1;1;1;1;1;1;0;1;Bus o colectivo;;15;No utilizo otros medios de transporte;;;;;;;;;;;;;;4600;1;1;1;1;1;1;1;1;0;1;0;;;;;;;;;;;;1;;Taxi;;A pie o caminata;;1;1;1;1;1;1;0;1;1;0;0;0;1;0;0;0;1;1;1;0;1;La parte  ambiental y  liberarse de la responsabilidad en el trafico;el orden  público, los robos;D;Femenino;6,2375448;-75,5992194;3,687273379;1-5 KM;12;0;1;1453,465431;0;75580,20243
03c17n7t2s1fqic68p03c17e2ih8dyjn;Medellín;5;41;0;0;0;0;0;0;0;0;Bus o colectivo;;45;Carro propio uso individual;;;30;Gasolina;;1600;40000;2016;;;;;;12000;0;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1;0;0;en la actualidad  mis hijas  estan en casa  y  se facilita  realizar trabajo remoto  y  poner cuidado  a las  actividades  de ellas;0;2;Bus o colectivo;;Bus o colectivo;;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;1;1;1;1;cerca  del trabajo  no  hay estaciones  de  bicicleta publica,;no;D;Femenino;6,2412503;-75,596384;3,300302627;1-5 KM;10;2;0;0;427,0330374;22205,71794
05v3q5w0wvj9q58dfu05v3q0arpgnwz6;Envigado;5;35;1;1;1;1;1;0;0;1;Carro propio uso individual;;25;Carro compartido pasajero;;3;25;Gasolina;;1600;3000;2020;120000;120000;300000;2500000;;0;1;0;0;1;1;1;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;;1;;Taxi;;No requiero desplazarme;;0;0;1;0;0;1;1;1;1;0;0;0;1;1;1;1;1;0;1;1;;Sostenibilidad ecológica, económica... Ahorro de tiempo.;Bicicleta: Sensación de seguridad. Trsmoprte público: Tiempos de desplazamiento y cercanía a mi lugar de residencia.;A;Femenino;6,1785122;-75,5720148;5,072694472;5-7 KM;10;0;1;13093,35446;0;680854,4318
065kzg2431kszaejuw9gnon065kzhf76;Envigado;3;61;0;0;0;0;0;0;0;0;Bus o colectivo;;60;A pie o caminata;;;120;Gasolina;;1600;;;;;;;;9000;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1;0;0;No aplica;0;0;Bus o colectivo;;Bus o colectivo;;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;economia;seguridad;C;Masculino;6,1671339;-75,5981779;4,60023438;1-5 KM;10;0;0;0;0;0
06cju2rpryok7uof4ta1a06cju2b0tcd;Medellín;3;52;1;0;1;1;1;1;1;0;Tren;;2;Bus o colectivo;;;1;;;;;;;;;;;10000;1;1;1;1;1;1;0;1;0;0;0;;;;;;;;;;;;0;3;Bus o colectivo;;A pie o caminata;;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Salud, seguridad,;Ambos;B;Masculino;6,2016774;-75,5995018;6,178526118;5-7 KM;12;3;0;2090,813238;640,5495561;142030,8653
07dp03v0c7ecbwabrkoch07dp03cuoga;Medellín;4;28;1;1;1;1;1;0;0;0;Bicicleta publica;;40;Tren;;;35;;;;;;;;;;;5000;1;1;1;1;1;1;1;1;0;0;0;;;;;;;;;;;;0;2;Bicicleta publica;;Tren;;1;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;0;1;1;1;1;Salud y medio ambiente;Clima lluvioso;A;Masculino;6,2578045;-75,6032532;4,871256974;1-5 KM;10;2;0;0;0;0
07mxmay8jzh5ontw07mxmajs659okfbe;Medellín;4;47;1;1;1;1;1;0;0;1;Bus o colectivo;;75;Bus o colectivo;;;75;Gasolina;;1600;0;0;;;;;;9000;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;por el momento por el tema de la pandemia y el largo transcurso de tiempo que tardo en desplazarme, tardo hora y media en ir a oficina y a veces dos horas en regresar a casa. debo tomar dos buses de ida y dos de regreso. El estar mas tiempo pendiente de mi familia a mejorado las relaciones y el nivel académico en mi hijo que es adolescente.;0;0;Bus o colectivo;;Taxi;;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;solo transporte publico porque es el unico que me sirve para desplazarme.;la demora en pasar y la alta afluencia de usuarios, la inseguridad, en dos ocasiones han atracado el bus. La congestion por obras en sector de la 80, hacen que los trayectos ida y regreso a veces sean de 120 minutos por trayecto;C;Femenino;6,2631;-75,595448;6,225425977;5-7 KM;10;0;1;2044,971203;0;106338,5026
0b201gc7nhlpkd5tlcqo80b201gcazka;Medellín;2;27;1;1;1;1;1;0;0;1;Tren;;90;Bus o colectivo;;;120;;;;;;;;;;;7530;1;1;0;1;1;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0;Falta de puestos de trabajo para personal nuevo;0;;Taxi;;No requiero desplazarme;;1;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;Cuidado del medio ambiente;Vías congestionadas, inseguridad en la calles para usar bicicleta, distancia, exceso de personas en transporte publico.;D;Femenino;6,1840721;-75,6484333;11,29916875;7-15 KM;10;0;1;3186,365587;0;165691,0105
0b6bhkyz1k0t7da6wegum0b6bqk5h04g;La Ceja;3;54;1;1;1;1;0;0;0;1;Bus o colectivo;;30;Bus o colectivo;;;100;Gasolina;;1600;50;2012;;;;;;22000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;Comodidad;0;0;Bus o colectivo;;No requiero desplazarme;;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;no;no;C;Femenino;6,0298998;-75,4305712;26,21412545;15-30 KM;8;0;1;6888,798532;0;358217,5237
0b9p14ku1v4xmybrql3jw0b9p143hgpr;Bello;4;38;1;1;1;1;1;0;0;1;Carro propio uso individual;;40;Cable;;;;Gasolina;;1600;23000;2019;400000;100000;500000;2300000;3000000;0;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;0;Eficiencia en tiempos;1;;Carro propio uso individual;;No requiero desplazarme;;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;Salud;distancias, y seguridad vial;C;Masculino;6,3419578;-75,5646737;15,09936734;7-15 KM;10;0;1;38973,6401;0;2026629,285
0bga4t5h2lohihe7ankh0k30bga423p9;Medellín;2;34;1;1;1;1;1;0;0;1;Bus o colectivo;;40;Tren;;;40;;no aplica;;0;0;;;;;;10000;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;0;1;1;0;0;no aplica;0;0;;no aplica;A pie o caminata;;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;economía;congestión;D;Femenino;6,279562;-75,5637961;3,778935452;1-5 KM;10;0;1;1241,330988;0;64549,21136
0dd27cuvnl9dh5jyf0dd2u36wbkbiapb;Bogotá;3;35;1;1;1;1;1;0;0;0;Taxi;;30;Bus o colectivo;;;30;;;;;;;;;;;6000;0;0;1;1;0;0;0;0;0;0;0;;;;;;;;;;;;0;2;Bus o colectivo;;A pie o caminata;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Trabajo en una sede externa fuera de la ciudad, por lo tanto la encuesta en gran parte no me aplica, para llegar a la sede donde trabajo, debo desplazarme en bus o avión de acuerdo a las tarifas;En el momento por la pandemia no puedo hacer uso de busese municipales o aviones, pero no me afecta debido a las decisiones de la empresa de trabajar desde casa;D;Masculino;4,696358;-74,0952167;5,920821428;5-7 KM;10;2;0;15282,49219;427,0330374;816895,3118
0f8sxqwozu0fjkutz13x0f8s9gb7pks5;Medellín;5;39;1;1;1;1;1;0;0;1;Bus o colectivo;;30;No utilizo otros medios de transporte;;;;;;;;;;;;;;4500;1;1;1;1;0;1;0;0;0;0;1;1;1;1;1;1;1;0;1;0;0;Tiempo con mi hija;0;10;Uber o similares;;A pie o caminata;;1;0;1;1;1;1;0;0;1;1;0;1;1;0;0;1;0;0;1;1;0;Rapidez, cuidado del ambiente, seguridad personal;Inseguridad;B;Femenino;6,2659495;-75,598026;4,241830158;1-5 KM;10;10;1;1393,385859;16777,43543;944882,7072
0fev0tjdvtcsh4zzs0fevwczeuynufw2;Medellín;3;37;0;0;0;0;0;0;0;0;A pie o caminata;;30;No utilizo otros medios de transporte;;;;;;;;;;;;;;5000;1;1;1;1;1;1;1;1;0;0;0;;;;;;;;;;;;0;2;A pie o caminata;;No requiero desplazarme;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Solo si llueve;No me siento cómodo caminando y cuando llueva utilizo el colectivo y el bus;D;Masculino;6,2358202;-75,5563694;1,582079229;1-5 KM;10;2;0;0;0;0
0hxbmkjvv40p0a7spd0hxb4a9fvgrl8g;Medellín;3;25;1;1;1;1;0;0;0;1;Motocicleta 4T;;25;Transporte integrado;;;;Gasolina;;135;30000;2013;50000;40000;350000;700000;3000000;0;1;1;1;1;0;0;1;1;0;0;1;1;1;1;1;1;1;0;1;0;0;;1;;Motocicleta 4T;;No requiero desplazarme;;1;0;1;1;1;1;0;1;0;0;1;1;0;1;1;1;0;0;0;1;1;Economia, tiempo, medio ambiente;Para el uso de la bicicleta o patineta: La distancia desde la casa hasta el trabajo;A;Masculino;6,1904159;-75,6042476;4,976041898;1-5 KM;8;0;1;1804,559578;0;93837,09808
0hyvv5iasa7tzp4izta0hyvv5ia8flo6;Envigado;3;36;1;1;1;1;1;0;0;1;Transporte integrado;;25;Tren;;;20;;;;;;;;;;;15000;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;Ahorro tiempo y dinero, el tiempo lo invierto en estudio y lectura;1;;Taxi;;No requiero desplazarme;;0;0;1;0;1;1;0;1;1;0;0;1;1;1;0;1;0;1;1;1;0;Uno de mis sueños  es transportarme en bicicleta;La bicicleta, actualmente no la tengo;D;Femenino;6,1631948;-75,5937434;9,578589037;7-15 KM;10;0;1;3146,441516;0;163614,9588
0is96jiut0tz22v6a0is9nutecikkt7r;Bello;3;28;1;1;1;1;1;1;0;0;Tren;;70;Tranvia;;;10;Electrico;;;0;0;;;;;;11200;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;;0;10;Tren;;No requiero desplazarme;;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;No me molesta el usar el transporte público, el uso de la bicicleta favorecería mi salud ya que el tiempo invertido en el trayecto al trabajo lo puedo dedicar a este uso.;No tengo los recursos para comprar una moto, bicicleta, etc. Quizá la seguridad vial y estado del aire.;B;Femenino;6,3382613;-75,5478085;10,39897113;7-15 KM;12;10;0;3519,011832;1833;278304,6152
0iv6ilrflo90utq3zzyir0iv6ilrmlxk;Medellín;4;55;1;1;1;1;1;0;0;1;Bus o colectivo;;40;Alimentador de sistema masivo;;;40;Gasolina;;1600;0;;;;;;;5000;1;1;1;0;1;0;1;0;0;0;1;1;1;1;1;1;1;0;1;0;0;evitar desplazamientos y reforzar compromiso;0;0;Carro compartido pasajero;;No requiero desplazarme;;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;compromiso ambiental;ninguno;C;Femenino;6,2232869;-75,601723;2,356068913;1-5 KM;10;0;1;773,9378956;0;40244,77057
0l5tk2wom6ssg1g8qbb0l5tk2s9oe0mh;Rionegro;2;29;1;1;1;1;1;1;1;0;Motocicleta 2T;;25;Bus o colectivo;;;;Gasolina;;110;23455;2015;60000;20000;200000;750000;1000000;0;1;1;1;1;1;0;1;1;0;0;0;;;;;;;;;;;;0;0;Bus o colectivo;;A pie o caminata;;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;1;0;1;0;1;1;El cuidado del medio ambiente, una mejor condición física, ahorro en pasajes.;Tiempo;A;Femenino;6,1597416;-75,3936419;21,26938149;15-30 KM;14;0;0;33745,83004;0;1754783,162
0lkjmlo42ywvulc0lkcthezm1ov2kfam;Medellín;4;51;1;1;1;1;1;0;0;0;Bus o colectivo;;20;Taxi;;;20;;;;;;;;;;;8000;0;0;0;1;1;0;1;0;0;0;1;1;1;1;1;1;1;0;1;0;0;Mayor concentración en la tarea;1;;Taxi;;No requiero desplazarme;;1;0;1;0;1;1;0;1;0;0;0;0;1;1;1;0;0;1;0;1;1;Que hubiera seguridad para reducir el riesgo público;La inseguridad en la zona, temor a un robo;D;Masculino;6,2534866;-75,5539167;1,68193785;1-5 KM;10;0;0;552,4946375;0;28729,72115
0mpfqymtdmgtj4ypyp0mpfqymcl1u2lo;Envigado;6;39;1;1;1;1;1;0;0;0;Bus o colectivo;;60;Tren;;;40;;;;;;;;;;;6000;0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;;1;;Taxi;;No requiero desplazarme;;1;0;1;1;1;1;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;ya uso transporte público;no tengo bicicleta;D;Femenino;6,1829669;-75,5809927;7,092956282;7-15 KM;10;0;0;2329,943588;0;121157,0666
0nzxovg28z1wks3zvol40nzxov4lk0kt;Medellín;3;25;1;1;1;1;1;0;0;1;Bus o colectivo;;40;Bus o colectivo;;;30;Gasolina;;1600;0;0;;;;;;12000;1;0;1;1;0;1;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;Ahorro de tiempo, economía, facilidad y tiempo libre;0;0;Alimentador de sistema masivo;;No requiero desplazarme;;0;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;1;1;0;0;Accesibilidad y tiempo;No hay rutas de fácil acceso al SITVA;C;Femenino;6,2500962;-75,5449389;6,679125608;5-7 KM;10;0;1;2194,005612;0;114088,2918
0o1qjzbe5ve3u0o1qz43c991g8pgjd4h;Medellín;2;33;1;1;1;1;1;1;1;0;Transporte integrado;;68;No utilizo otros medios de transporte;;;;;;;;;;;;;;8000;0;1;1;1;1;1;1;0;0;0;0;;;;;;;;;;;;0;3;Taxi;;No requiero desplazarme;;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;1;0;1;1;1;0;Seguridad de no contacto directo;Ninguna;B;Femenino;6,2684891;-75,596866;4,290322422;1-5 KM;14;3;0;1973,040909;5033,23063;364326,12
0oquvlvvk3mj125e20oqu9b1jnbkpjc8;Itagüí;2;57;1;1;1;1;1;0;0;0;Transporte empresarial;;36;Bus o colectivo;;;36;;No Tengo;;0;0;;;;;;13000;1;0;0;1;1;1;1;1;0;0;0;;;;;;;;;;;;0;1;Bus o colectivo;;;Ninguno;1;1;1;1;1;1;0;1;1;0;0;0;1;1;1;0;0;1;1;1;0;Por economía financiera y física;Ninguna;A;Masculino;6,1681832;-75,6190324;7,913624325;7-15 KM;10;1;0;1651,461246;213,5165187;96978,84379
